Mask Name,High character,Low words,,Mask description:,"When mask is 0, write is invalid, read is indeterminate"
AddressMask_General1,00000000,0000000F,,,
AddressMask_Realtime_SysInfo1,00000000,0000000F,,,
AddressMask_Realtime_SysInfo2,00000000,0000000F,,,
AddressMask_Realtime_GridOutput1,00000000,0000000F,,,
AddressMask_Realtime_EmergencyOutput1,00000000,0000000F,,,
AddressMask_Realtime_Input_PV1,00000000,0000000F,,,
AddressMask_Realtime_Input_PV2,00000000,0000000F,,,
AddressMask_Realtime_Input_Bat1,00000000,0000000F,,,
AddressMask_Realtime_Input_Bat2,00000000,0000000F,,,
AddressMask_Realtime_ElectricityStatistics1,00000000,0000000F,,,
AddressMask_Realtime_ClassifiedInfo1,00000000,0000000F,,,
AddressMask_Realtime_CombinerInfo1,00000000,0000000F,,,
AddressMask_Realtime_CombinerInfo2,00000000,0000000F,,,
AddressMask_Config_Basic1,00000000,0000000F,,,
AddressMask_Config_Basic2,00000000,0000000F,,,
AddressMask_Config_Basic3,00000000,0000000F,,,
AddressMask_Config_Remote1,00000000,0000000F,,,
AddressMask_Config_Remote2,00000000,0000000F,,,
AddressMask_Config_Remote3,00000000,0000000F,,,
AddressMask_Config_Remote4,00000000,0000000F,,,
AddressMask_Config_ReadOnly_Result1,00000000,0000000F,,,
AddressMask_Config_ReadOnly_Result2,00000000,0000000F,,,
AddressMask_Config_ReadOnly_Result3,00000000,0000000F,,,
AddressMask_Config_ReadOnly_Result4,00000000,0000000F,,,
AddressMask_Config_ReadOnly_Result5,00000000,0000000F,,,
AddressMask_Config_ReadOnly_Result6,00000000,0000000F,,,
AddressMask_Config_Core1,00000000,0000000F,,,
,,,,,
AddressMask_Factory1,0000007F,0003FFFF,,,
AddressMask_Factory2,00000000,0000000F,,,
AddressMask_Factory3,00000000,0000000F,,,
AddressMask_BMS1_System,00000000,0000000F,,,
AddressMask_BMS2_Realtime,00000000,0000000F,,,
AddressMask_BMS3_Fault,00000000,0000000F,,,
AddressMask_Admin1,00000000,0000000F,,,
AddressMask_Admin2,00000000,0000000F,,,
AddressMask_Admin3,00000000,0000000F,,,